confidence,left,lift,right,support
0.843528807163,['Vegetarian'],1.08955526352,['+'],0.0122973239049
0.843528807163,"['Vegetarian', 'Restaurants']",1.08955526352,['+'],0.0122973239049
0.792184829712,['Seafood'],1.02323615551,['+'],0.0229278113693
0.792184829712,"['Seafood', 'Restaurants']",1.02323615551,['+'],0.0229278113693
0.461766541004,"['Seafood', '+', 'Restaurants']",1.41531121731,['food'],0.0105872964486
0.461766541004,"['Seafood', '+']",1.41531121731,['food'],0.0105872964486
0.207173362374,"['American (Traditional)', '+']",1.00196909904,['really'],0.0106720775366
0.207173362374,"['American (Traditional)', '+', 'Restaurants']",1.00196909904,['really'],0.0106720775366
0.288688778877,"['American (Traditional)', '+']",1.19290828705,['service'],0.014871164225
0.288688778877,"['American (Traditional)', '+', 'Restaurants']",1.19290828705,['service'],0.014871164225
0.320580691099,"['American (Traditional)', '+']",1.07059919834,['here'],0.0165140070021
0.320580691099,"['American (Traditional)', '+', 'Restaurants']",1.07059919834,['here'],0.0165140070021
0.367657780647,"['American (Traditional)', '+', 'Restaurants']",1.26215624809,['great'],0.0189390797168
0.852774858475,"['American (Traditional)', 'great', 'Restaurants']",1.10149812698,['+'],0.0189390797168
0.203369304538,"['American (Traditional)', '+', 'Restaurants']",1.78205347061,"['food', 'great']",0.0104761207476
0.553148388863,"['American (Traditional)', '+', 'great', 'Restaurants']",1.6953959465,['food'],0.0104761207476
0.430770248175,"['American (Traditional)', 'food', '+', 'Restaurants']",1.47881913185,['great'],0.0104761207476
0.829775094986,"['American (Traditional)', 'food', 'great', 'Restaurants']",1.07179009914,['+'],0.0104761207476
0.472106188536,"['American (Traditional)', '+', 'Restaurants']",1.44700229168,['food'],0.0243195071816
0.252387225628,"['American (Traditional)', '+', 'Restaurants']",1.61564230919,"['food', 'good']",0.0130011709407
0.53459841013,"['American (Traditional)', 'food', '+', 'Restaurants']",1.49119091034,['good'],0.0130011709407
0.541616678238,"['American (Traditional)', '+', 'good', 'Restaurants']",1.66005146503,['food'],0.0130011709407
0.465988665819,"['American (Traditional)', '+', 'Restaurants']",1.29981315136,['good'],0.0240043774247
0.367657780647,"['American (Traditional)', '+']",1.26215624809,['great'],0.0189390797168
0.852774858475,"['American (Traditional)', 'great']",1.10149812698,['+'],0.0189390797168
0.203369304538,"['American (Traditional)', '+']",1.78205347061,"['food', 'great']",0.0104761207476
0.553148388863,"['American (Traditional)', '+', 'great']",1.6953959465,['food'],0.0104761207476
0.430770248175,"['American (Traditional)', 'food', '+']",1.47881913185,['great'],0.0104761207476
0.829775094986,"['American (Traditional)', 'food', 'great']",1.07179009914,['+'],0.0104761207476
